 Imunizações - Doses Aplicadas - Brasil ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Doses_aplicadas por Capital segundo Ano/mês;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Imunobiológicos:BCG (BCG),Haemophilus influenzae tipo b (Hib),Meningococo A/C (MnAC),Meningococo B/C (MnBC),Meningocócica Conjugada - C (MncC),Pentavalente (DTP+HB+Hib) (PENTA),Pneumocócica 10valente,Pneumocócica Conjugada 7 Valente (Pnc7),Pneumocócica Polissacarídica 23 Valente (Pn23),Pneumocócica 13 valente,Tetravalente (DTP/Hib) (TETRA),Penta inativada (DTPa/Hib/Vip),Meningocócica ACWY135,Meningocócica  B; Ano:1994-2022; ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano/mês;Porto Velho;Rio Branco;Manaus;Boa Vista;Belém;Macapá;Palmas;São Luís;Teresina;Fortaleza;Natal;João Pessoa;Recife;Maceió;Aracaju;Salvador;Belo Horizonte;Vitória;Rio de Janeiro;São Paulo;Curitiba;Florianópolis;Porto Alegre;Campo Grande;Cuiabá;Goiânia;Brasília;Ignorado; Total
2006/Ago;2.840;2.806;14.126;2.420;10.353;3.407;1.659;7.432;5.945;17.781;5.767;5.945;10.740;5.832;2.593;16.325;12.090;2.115;32.427;80.402;10.830;2.126;6.669;4.550;3.922;8.494;18.691;951.055;1.249.342
2006/Set;2.417;3.245;13.388;1.925;11.278;2.803;1.451;7.914;4.758;13.543;4.830;4.546;10.108;6.181;1.876;14.873;10.823;2.008;26.942;65.012;8.863;1.573;6.269;4.940;3.572;8.611;15.538;825.393;1.084.680
2006/Out;2.586;2.618;13.949;1.961;11.347;3.255;1.497;8.881;5.297;14.092;4.932;4.901;9.131;5.989;2.697;15.419;10.969;1.923;29.802;70.474;11.162;1.803;6.607;4.443;3.697;9.320;17.377;852.194;1.128.323
2006/Nov;2.367;2.804;15.769;2.155;10.791;2.815;1.481;8.645;5.139;14.824;4.331;4.889;8.844;5.749;2.820;14.526;10.486;2.115;27.968;63.942;9.405;1.579;6.523;4.200;3.594;8.371;16.329;828.285;1.090.746
2006/Dez;2.353;2.846;13.871;1.916;10.861;2.523;1.208;7.636;4.892;12.935;3.797;4.841;8.530;5.469;2.666;11.306;9.902;1.878;27.179;62.231;8.821;1.768;6.118;4.797;3.407;8.534;15.626;755.351;1.003.262
2007/Jan;2.894;2.729;15.979;2.241;10.636;3.729;1.564;8.958;5.534;15.562;4.384;5.390;9.165;6.673;3.106;14.745;11.225;2.505;30.735;72.133;10.605;2.240;6.218;4.725;3.244;8.256;18.085;857.516;1.140.776
2007/Fev;2.267;2.738;13.411;1.975;10.525;2.642;1.210;7.430;4.923;12.286;4.212;3.774;8.479;4.559;2.584;10.437;10.133;2.193;26.038;67.746;8.574;1.573;5.720;4.309;4.057;9.608;15.214;761.694;1.010.311
2007/Mar;3.009;2.686;15.337;2.084;9.614;3.555;1.517;8.224;5.578;14.952;4.709;4.777;9.244;6.118;2.714;14.803;13.875;2.503;32.243;74.082;11.023;1.857;6.835;4.730;3.200;9.508;17.964;848.620;1.135.361
2007/Abr;2.590;2.818;9.483;2.393;11.200;2.903;1.513;7.669;5.177;13.193;4.655;5.728;9.654;5.538;2.996;12.610;11.363;1.777;29.304;86.654;8.691;2.110;6.376;4.622;3.666;8.679;19.600;840.014;1.122.976
2007/Mai;2.835;2.982;13.336;1.790;9.668;3.136;1.447;7.858;5.159;13.986;4.172;4.973;9.890;5.491;2.541;14.046;14.146;1.517;29.995;100.594;10.344;2.208;6.732;4.824;2.862;9.525;20.917;866.404;1.173.378
